model,seed,held_out,accuracy,macro_f1,f1_khlui,f1_khong,f1_so,f1_ranat,n_train,n_test,epochs_used
12_tbc_full,2024,ตับต้นเพลงฉิ่ง,0.6818181818181818,0.6174882075471698,0.16,0.9375,0.7924528301886793,0.58,643,176,17
12_tbc_full,2024,สาธุการ,0.7916666666666666,0.7575047695967269,0.39436619718309857,0.7769784172661871,0.9814814814814815,0.8771929824561403,603,216,11
12_tbc_full,2024,แขกมอญบางช้าง,0.7241379310344828,0.7105996833610071,0.6896551724137931,0.8421052631578947,0.8,0.5106382978723404,703,116,16
12_tbc_full,2024,โหมโรงมหาฤกษ์,0.39705882352941174,0.3417626475129982,0.34782608695652173,0.4838709677419355,0.42424242424242425,0.1111111111111111,751,68,11
13_tbc_V0,42,กล่อมนารี,0.4,0.40421302639992696,0.21333333333333335,0.56,0.43902439024390244,0.4044943820224719,679,140,16
13_tbc_V0,42,จีนขิมเล็ก,0.5436893203883495,0.49304196564470537,0.2857142857142857,0.5753424657534246,0.4444444444444444,0.6666666666666666,716,103,15
13_tbc_V0,42,ตับต้นเพลงฉิ่ง,0.4431818181818182,0.4152570232027234,0.03773584905660377,0.8395061728395061,0.42735042735042733,0.3564356435643564,643,176,11
13_tbc_V0,42,สาธุการ,0.5231481481481481,0.4073087431693989,0.0,0.8,0.25,0.5792349726775956,603,216,13
13_tbc_V0,42,แขกมอญบางช้าง,0.47413793103448276,0.3972923796903043,0.15789473684210525,0.7076923076923077,0.1875,0.5360824742268041,703,116,12
13_tbc_V0,42,โหมโรงมหาฤกษ์,0.2647058823529412,0.2572944297082228,0.20512820512820512,0.41025641025641024,0.20689655172413793,0.20689655172413793,751,68,22
13_tbc_V0,123,กล่อมนารี,0.4928571428571429,0.4969826945929887,0.2727272727272727,0.5625,0.6274509803921569,0.5252525252525253,679,140,16
13_tbc_V0,123,จีนขิมเล็ก,0.5339805825242718,0.503340209957857,0.2702702702702703,0.6071428571428571,0.4888888888888889,0.6470588235294118,716,103,17
13_tbc_V0,123,ตับต้นเพลงฉิ่ง,0.4147727272727273,0.35851658573793976,0.0,0.7631578947368421,0.2318840579710145,0.43902439024390244,643,176,11
13_tbc_V0,123,สาธุการ,0.6527777777777778,0.6282143088686142,0.3448275862068966,0.8307692307692308,0.6595744680851063,0.6776859504132231,603,216,14
13_tbc_V0,123,แขกมอญบางช้าง,0.6120689655172413,0.5661922663802362,0.3157894736842105,0.8,0.7,0.4489795918367347,703,116,16
13_tbc_V0,123,โหมโรงมหาฤกษ์,0.3235294117647059,0.30511847250977686,0.37037037037037035,0.34285714285714286,0.17391304347826086,0.3333333333333333,751,68,20
13_tbc_V0,2024,กล่อมนารี,0.5142857142857142,0.506449732389582,0.3384615384615385,0.5789473684210527,0.5306122448979592,0.5777777777777777,679,140,16
13_tbc_V0,2024,จีนขิมเล็ก,0.5436893203883495,0.5223599137931034,0.3333333333333333,0.6206896551724138,0.5416666666666666,0.59375,716,103,17
13_tbc_V0,2024,ตับต้นเพลงฉิ่ง,0.4318181818181818,0.4026739170702019,0.0392156862745098,0.7948717948717948,0.35555555555555557,0.42105263157894735,643,176,13
13_tbc_V0,2024,สาธุการ,0.6111111111111112,0.5925357666577103,0.44642857142857145,0.8346456692913385,0.6153846153846154,0.47368421052631576,603,216,16
13_tbc_V0,2024,แขกมอญบางช้าง,0.5258620689655172,0.5156980343600062,0.39285714285714285,0.7692307692307693,0.45,0.4507042253521127,703,116,16
13_tbc_V0,2024,โหมโรงมหาฤกษ์,0.36764705882352944,0.3276025339602926,0.3125,0.4827586206896552,0.3333333333333333,0.18181818181818182,751,68,12
13_tbc_V1,42,กล่อมนารี,0.5785714285714286,0.5793808690395577,0.5148514851485149,0.46511627906976744,0.6938775510204082,0.6436781609195402,679,140,11
13_tbc_V1,42,จีนขิมเล็ก,0.6699029126213593,0.6684771106510237,0.5217391304347826,0.7407407407407407,0.84,0.5714285714285714,716,103,23
13_tbc_V1,42,ตับต้นเพลงฉิ่ง,0.6647727272727273,0.657029787460869,0.4523809523809524,0.7123287671232876,0.7889908256880734,0.6744186046511628,643,176,13
13_tbc_V1,42,สาธุการ,0.7592592592592593,0.71414325225657,0.3125,0.8034188034188035,0.9906542056074766,0.75,603,216,24
13_tbc_V1,42,แขกมอญบางช้าง,0.7068965517241379,0.6962438742308836,0.46153846153846156,0.8070175438596491,0.90625,0.6101694915254238,703,116,16
13_tbc_V1,42,โหมโรงมหาฤกษ์,0.4264705882352941,0.3967441221983727,0.3,0.47761194029850745,0.46153846153846156,0.34782608695652173,751,68,11
13_tbc_V1,123,กล่อมนารี,0.5428571428571428,0.522839241363739,0.28,0.5,0.6511627906976745,0.6601941747572816,679,140,12
13_tbc_V1,123,จีนขิมเล็ก,0.6990291262135923,0.6874844543936325,0.5,0.6440677966101694,0.8888888888888888,0.7169811320754716,716,103,17
13_tbc_V1,123,ตับต้นเพลงฉิ่ง,0.6931818181818182,0.6850477008817436,0.5263157894736842,0.7631578947368421,0.7610619469026548,0.6896551724137931,643,176,13
13_tbc_V1,123,สาธุการ,0.6944444444444444,0.6692569298606451,0.29411764705882354,0.7789473684210526,0.9615384615384616,0.6424242424242425,603,216,16
13_tbc_V1,123,แขกมอญบางช้าง,0.6551724137931034,0.6366168733757316,0.5106382978723404,0.7719298245614035,0.7733333333333333,0.49056603773584906,703,116,14
