model,seed,held_out,accuracy,macro_f1,f1_khlui,f1_khong,f1_so,f1_ranat,n_train,n_test
4_nb_unigram,123,สาธุการ,0.8055555555555556,0.7732162711806442,0.4444444444444444,0.8852459016393442,0.9724770642201835,0.7906976744186046,603,216
4_nb_unigram,123,แขกมอญบางช้าง,0.6637931034482759,0.6455806904082766,0.509090909090909,0.8275862068965517,0.7567567567567568,0.4888888888888889,703,116
4_nb_unigram,123,โหมโรงมหาฤกษ์,0.39705882352941174,0.32738261156019566,0.5161290322580645,0.47761194029850745,0.21052631578947367,0.10526315789473684,751,68
4_nb_unigram,2024,กล่อมนารี,0.5285714285714286,0.5321339950372208,0.45161290322580644,0.6,0.5128205128205128,0.5641025641025641,679,140
4_nb_unigram,2024,จีนขิมเล็ก,0.6116504854368932,0.6040031397174255,0.5384615384615384,0.6666666666666666,0.7346938775510204,0.47619047619047616,716,103
4_nb_unigram,2024,ตับต้นเพลงฉิ่ง,0.6193181818181818,0.6047755257709491,0.37142857142857144,0.7631578947368421,0.7192982456140351,0.5652173913043478,643,176
4_nb_unigram,2024,สาธุการ,0.8055555555555556,0.7732162711806442,0.4444444444444444,0.8852459016393442,0.9724770642201835,0.7906976744186046,603,216
4_nb_unigram,2024,แขกมอญบางช้าง,0.6637931034482759,0.6455806904082766,0.509090909090909,0.8275862068965517,0.7567567567567568,0.4888888888888889,703,116
4_nb_unigram,2024,โหมโรงมหาฤกษ์,0.39705882352941174,0.32738261156019566,0.5161290322580645,0.47761194029850745,0.21052631578947367,0.10526315789473684,751,68
5_svm_unigram,42,กล่อมนารี,0.5642857142857143,0.5683324552160169,0.547945205479452,0.56,0.6153846153846154,0.55,679,140
5_svm_unigram,42,จีนขิมเล็ก,0.6213592233009708,0.6124565783760312,0.45,0.6285714285714286,0.7755102040816326,0.5957446808510638,716,103
5_svm_unigram,42,ตับต้นเพลงฉิ่ง,0.6534090909090909,0.6415838748155821,0.47619047619047616,0.8536585365853658,0.75,0.4864864864864865,643,176
5_svm_unigram,42,สาธุการ,0.8055555555555556,0.7659461095220329,0.4117647058823529,0.864,0.9818181818181818,0.8062015503875969,603,216
5_svm_unigram,42,แขกมอญบางช้าง,0.6637931034482759,0.6410662863194113,0.43478260869565216,0.7796610169491526,0.7837837837837838,0.5660377358490566,703,116
5_svm_unigram,42,โหมโรงมหาฤกษ์,0.4117647058823529,0.3784970238095238,0.4166666666666667,0.46875,0.42857142857142855,0.2,751,68
5_svm_unigram,123,กล่อมนารี,0.5642857142857143,0.5683324552160169,0.547945205479452,0.56,0.6153846153846154,0.55,679,140
5_svm_unigram,123,จีนขิมเล็ก,0.6213592233009708,0.6124565783760312,0.45,0.6285714285714286,0.7755102040816326,0.5957446808510638,716,103
5_svm_unigram,123,ตับต้นเพลงฉิ่ง,0.6534090909090909,0.6415838748155821,0.47619047619047616,0.8536585365853658,0.75,0.4864864864864865,643,176
5_svm_unigram,123,สาธุการ,0.8055555555555556,0.7659461095220329,0.4117647058823529,0.864,0.9818181818181818,0.8062015503875969,603,216
5_svm_unigram,123,แขกมอญบางช้าง,0.6637931034482759,0.6410662863194113,0.43478260869565216,0.7796610169491526,0.7837837837837838,0.5660377358490566,703,116
5_svm_unigram,123,โหมโรงมหาฤกษ์,0.4117647058823529,0.3784970238095238,0.4166666666666667,0.46875,0.42857142857142855,0.2,751,68
5_svm_unigram,2024,กล่อมนารี,0.5642857142857143,0.5683324552160169,0.547945205479452,0.56,0.6153846153846154,0.55,679,140
5_svm_unigram,2024,จีนขิมเล็ก,0.6213592233009708,0.6124565783760312,0.45,0.6285714285714286,0.7755102040816326,0.5957446808510638,716,103
5_svm_unigram,2024,ตับต้นเพลงฉิ่ง,0.6534090909090909,0.6415838748155821,0.47619047619047616,0.8536585365853658,0.75,0.4864864864864865,643,176
5_svm_unigram,2024,สาธุการ,0.8055555555555556,0.7659461095220329,0.4117647058823529,0.864,0.9818181818181818,0.8062015503875969,603,216
5_svm_unigram,2024,แขกมอญบางช้าง,0.6637931034482759,0.6410662863194113,0.43478260869565216,0.7796610169491526,0.7837837837837838,0.5660377358490566,703,116
